MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
BC3D3,2566.82294327021,205650.252311398,-289113144.538749,-2566.82294327021,482349.747688602,-1094384332.34727
BD3E3,-2827.89946553111,263299.521372409,161459499.762428,2827.89946553111,424700.478627591,-968464286.038339
BE3F3,-5061.55013118684,344000,0,5061.55013118684,344000,0
BF3G3,-3860.88621637225,206024.047405558,-394441908.453692,3860.88621637225,516375.952594442,-1234905593.78795
BA4B4,28187.3514625281,297766.075614399,88422325.7236675,-28187.3514625281,424633.924385601,-754478531.772478
BB4C4,12024.3489815742,344000,0,-12024.3489815742,344000,0
BC4D4,5217.6683190763,213745.173744991,-248210101.936676,-5217.6683190763,474254.826255009,-1054338160.61341
BD4E4,-1687.89839175344,264089.615706793,157719822.891051,1687.89839175344,423910.384293207,-956823665.823118
BE4F4,-3719.16518172622,344000,0,3719.16518172622,344000,0
BF4G4,-1683.01469221711,203890.517820165,-404418822.499118,1683.01469221711,518509.482179835,-1247330740.38916
BA5B5,28965.7417845726,313991.891504299,173447421.621447,-28965.7417845726,408408.108495701,-669132560.826309
BB5C5,13979.4947583824,344000,0,-13979.4947583824,344000,0
BC5D5,7132.67088529468,221320.817529837,-210436055.418245,-7132.67088529468,466679.182470163,-1016355769.28338
BD5E5,134.482442229986,265396.086080065,157824477.786848,-134.482442229986,422603.913919935,-943863616.986197
BE5F5,-2478.05587098002,344000,0,2478.05587098002,344000,0
BF5G5,-1262.38946388662,202274.786309457,-413061761.982893,1262.38946388662,520125.213690543,-1255652981.76781
BA6B6,29845.4329990149,329261.099465955,253633788.799958,-29845.4329990149,393138.900534045,-588992244.407434
BB6C6,15684.8449723125,344000,0,-15684.8449723125,344000,0
BC6D6,8967.03397090733,228660.948489423,-173189701.618606,-8967.03397090733,459339.051510577,-980200813.487168
